          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
3101    001b.1700.0131    DYNAMIC     Po1
3101    0026.0bea.afb2    DYNAMIC     Po1
3101    7c0e.cef3.eb42    DYNAMIC     Po1
3040    0000.0c9f.fbe0    DYNAMIC     Po1
3040    001b.1700.0131    DYNAMIC     Po1
3040    0026.0bea.afb2    DYNAMIC     Po1
3040    7c0e.cef3.e942    DYNAMIC     Po3
3160    0000.0c9f.fc58    DYNAMIC     Po1
3160    001b.1700.0131    DYNAMIC     Po1
3160    0026.0bea.afb2    DYNAMIC     Po1
3160    7c0e.cef3.e942    DYNAMIC     Po3
3161    0000.0c9f.fc59    DYNAMIC     Po1
3161    001b.1700.0131    DYNAMIC     Po1
3161    0026.0bea.afb2    DYNAMIC     Po1
3161    7c0e.cef3.e942    DYNAMIC     Po3
3009    0000.0c9f.fbc1    DYNAMIC     Po1
3009    001b.1700.0131    DYNAMIC     Po1
3009    0026.0bea.afb2    DYNAMIC     Po1
3009    7c0e.cef3.e942    DYNAMIC     Po3
3162    0000.0c9f.fc5a    DYNAMIC     Po1
3162    001b.1700.0131    DYNAMIC     Po1
3162    0026.0bea.afb2    DYNAMIC     Po1
3162    7c0e.cef3.e942    DYNAMIC     Po3
3041    0000.0c9f.fbe1    DYNAMIC     Po1
3041    001b.1700.0131    DYNAMIC     Po1
3041    0026.0bea.afb2    DYNAMIC     Po1
3041    7c0e.cef3.e942    DYNAMIC     Po3
3163    0000.0c9f.fc5b    DYNAMIC     Po1
3163    001b.1700.0131    DYNAMIC     Po1
3163    0026.0bea.afb2    DYNAMIC     Po1
3163    7c0e.cef3.e942    DYNAMIC     Po3
3164    0000.0c9f.fc5c    DYNAMIC     Po1
3164    001b.1700.0131    DYNAMIC     Po1
3164    0026.0bea.afb2    DYNAMIC     Po1
3165    0000.0c9f.fc5d    DYNAMIC     Po1
3165    001b.1700.0131    DYNAMIC     Po1
3165    0026.0bea.afb2    DYNAMIC     Po1
3165    7c0e.cef3.e942    DYNAMIC     Po3
3299    0026.0bea.afb2    DYNAMIC     Po1
3042    0000.0c9f.fbe2    DYNAMIC     Po1
3042    001b.1700.0131    DYNAMIC     Po1
3042    0026.0bea.afb2    DYNAMIC     Po1
3043    0000.0c9f.fbe3    DYNAMIC     Po1
3043    001b.1700.0131    DYNAMIC     Po1
3043    0026.0bea.afb2    DYNAMIC     Po1
3043    7c0e.cef3.e942    DYNAMIC     Po3
3044    0000.0c9f.fbe4    DYNAMIC     Po1
3044    001b.1700.0131    DYNAMIC     Po1
3044    0026.0bea.afb2    DYNAMIC     Po1
3044    7c0e.cef3.e942    DYNAMIC     Po3
3045    0000.0c9f.fbe5    DYNAMIC     Po1
3045    001b.1700.0131    DYNAMIC     Po1
3045    0026.0bea.afb2    DYNAMIC     Po1
3045    7c0e.cef3.e942    DYNAMIC     Po3
3047    0000.0c9f.fbe7    DYNAMIC     Po1
3047    001b.1700.0131    DYNAMIC     Po1
3047    0026.0bea.afb2    DYNAMIC     Po1
3047    7c0e.cef3.e942    DYNAMIC     Po3
3046    0000.0c9f.fbe6    DYNAMIC     Po1
3046    001b.1700.0131    DYNAMIC     Po1
3046    0026.0bea.afb2    DYNAMIC     Po1
3046    7c0e.cef3.e942    DYNAMIC     Po3
3048    0000.0c9f.fbe8    DYNAMIC     Po1
3048    001b.1700.0131    DYNAMIC     Po1
3048    0026.0bea.afb2    DYNAMIC     Po1
3048    7c0e.cef3.e942    DYNAMIC     Po3
3103    0000.0c9f.fc1f    DYNAMIC     Po3
3103    001b.1700.0131    DYNAMIC     Po1
3103    0026.0bea.afb2    DYNAMIC     Po1
3103    7c0e.cef3.eb42    DYNAMIC     Po1
3050    0000.0c9f.fbea    DYNAMIC     Po1
3050    001b.1700.0131    DYNAMIC     Po1
3050    0026.0bea.afb2    DYNAMIC     Po1
3050    7c0e.cef3.e942    DYNAMIC     Po3
3051    0000.0c9f.fbeb    DYNAMIC     Po1
3051    001b.1700.0131    DYNAMIC     Po1
