Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type     Prt  VTEP             Moves   Last Move
  10  0050.56a1.ecdf  RECEIVED  Vx1  10.11.14.22      8       143 days, 7:18:43 ago
  10  0050.56a1.f162  RECEIVED  Vx1  10.11.14.22      10      316 days, 14:27:53 ago
  10  0050.56a1.f171  RECEIVED  Vx1  10.11.14.22      27      575 days, 11:03:49 ago
  10  0050.56a1.f619  RECEIVED  Vx1  10.11.14.23      160     356 days, 8:10:30 ago
  10  0050.56a1.f652  RECEIVED  Vx1  10.11.14.23      49      575 days, 11:03:49 ago
  10  0050.56a1.f8ed  RECEIVED  Vx1  10.11.14.22      28      575 days, 11:03:49 ago
  10  0050.56a1.f916  RECEIVED  Vx1  10.11.14.23      2       22 days, 15:46:25 ago
  10  0050.56a1.fb28  RECEIVED  Vx1  10.11.14.22      611     575 days, 11:03:49 ago
  10  0050.56a1.fcd7  RECEIVED  Vx1  10.11.14.22      6       120 days, 12:40:17 ago
  10  0050.56a1.fcf5  RECEIVED  Vx1  10.11.14.22      14      434 days, 18:19:16 ago
  10  0050.56a1.ff2d  RECEIVED  Vx1  10.11.14.22      3       38 days, 3:25:03 ago
  10  7483.ef00.481d  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:46:29 ago
  10  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:41:58 ago
  10  7483.ef00.4945  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:24:13 ago
  10  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:57:35 ago
  10  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:37:34 ago
  11  7483.ef00.481d  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:46:29 ago
  11  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:41:58 ago
  11  7483.ef00.4945  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:24:13 ago
  11  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:57:35 ago
  11  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:37:34 ago
  12  7483.ef00.481d  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:46:29 ago
  12  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:41:58 ago
  12  7483.ef00.4945  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:24:13 ago
  12  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:57:35 ago
  12  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:37:34 ago
  13  7483.ef00.481d  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:46:29 ago
  13  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:41:58 ago
  13  7483.ef00.4945  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:24:13 ago
  13  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:57:35 ago
  13  c0d6.82bf.3d56  RECEIVED  Vx1  10.11.14.24      1       33 days, 8:37:34 ago
  15  7483.ef00.481d  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:46:29 ago
  15  7483.ef00.4867  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:41:58 ago
  15  7483.ef00.4945  RECEIVED  Vx1  10.11.14.22      1       575 days, 10:24:13 ago
  15  7483.ef00.4b95  RECEIVED  Vx1  10.11.14.23      1       575 days, 9:57:35 ago
