Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC
   VLAN     MAC Address      Type      age     Secure NTFY Ports
* 3158     0000.0c9f.fc56   dynamic  0         F      F    Po2
* 3158     001b.1700.0131   dynamic  0         F      F    Po2
* 3158     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3159     0000.0c9f.fc57   dynamic  0         F      F    Po2
* 3159     001b.1700.0131   dynamic  0         F      F    Po2
* 3159     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3160     0000.0c9f.fc58   dynamic  0         F      F    Po2
* 3160     001b.1700.0131   dynamic  0         F      F    Po2
* 3160     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3161     0000.0c9f.fc59   dynamic  0         F      F    Po2
* 3161     001b.1700.0131   dynamic  0         F      F    Po2
* 3161     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3162     0000.0c9f.fc5a   dynamic  0         F      F    Po2
* 3162     001b.1700.0131   dynamic  0         F      F    Po2
* 3162     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3163     0000.0c9f.fc5b   dynamic  0         F      F    Po2
* 3163     001b.1700.0131   dynamic  0         F      F    Po2
* 3163     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3164     0000.0c9f.fc5c   dynamic  0         F      F    Po2
* 3164     001b.1700.0131   dynamic  0         F      F    Po2
* 3165     0000.0c9f.fc5d   dynamic  0         F      F    Po2
* 3165     001b.1700.0131   dynamic  0         F      F    Po2
* 3165     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3250     0000.0c9f.f000   dynamic  0         F      F    Po2
* 3250     001b.1700.0131   dynamic  0         F      F    Po2
* 3250     0026.0bea.9b41   dynamic  0         F      F    Po2
* 3250     0026.0bea.afc1   dynamic  0         F      F    Po2
* 3250     0027.e3ac.fa2f   dynamic  0         F      F    Po1
* 3250     0090.0b3f.c702   dynamic  0         F      F    Po2
* 3250     0866.1f04.4396   dynamic  0         F      F    Po1
* 3250     0866.1f04.450d   dynamic  0         F      F    Eth1/9
* 3250     5475.d050.5a6f   dynamic  0         F      F    Po2
* 3250     7c0e.cef3.e942   dynamic  0         F      F    Po2
* 3250     7c0e.cef3.eb42   dynamic  0         F      F    Po2
* 3250     c47d.4f3b.880f   dynamic  0         F      F    Po2
* 3255     d4f4.be1e.6706   dynamic  0         F      F    Po2
* 3256     0050.5661.9dbc   dynamic  0         F      F    Po1
* 3256     0050.5661.fa83   dynamic  0         F      F    Eth1/4
* 3256     0050.5666.981f   dynamic  0         F      F    Eth1/4
* 3256     0050.5667.15f6   dynamic  0         F      F    Po1
* 3256     0050.566a.5aa4   dynamic  0         F      F    Po1
* 3256     0050.566d.6bd9   dynamic  0         F      F    Eth1/4
* 3256     0050.5696.32dc   dynamic  0         F      F    Eth1/4
* 3256     0050.5696.342b   dynamic  0         F      F    Eth1/4
* 3256     0050.5696.552b   dynamic  0         F      F    Po1
* 3256     0050.5696.8bb9   dynamic  0         F      F    Eth1/4
* 3256     0050.5696.a6c0   dynamic  0         F      F    Po1
* 3256     0050.5696.e572   dynamic  0         F      F    Po1
* 3257     001b.1700.0131   dynamic  0         F      F    Po2
* 3261     0866.1f04.4394   dynamic  0         F      F    Po1
* 3261     0866.1f04.450b   dynamic  0         F      F    Eth1/11
* 3310     001b.1700.0131   dynamic  0         F      F    Po2
* 3311     001b.1700.0131   dynamic  0         F      F    Po2
* 3311     0050.5696.1947   dynamic  0         F      F    Eth1/3
* 3311     0050.5696.2c00   dynamic  0         F      F    Eth1/4
* 3311     0050.5696.6ad3   dynamic  0         F      F    Po1
* 3311     0050.5696.6f31   dynamic  0         F      F    Eth1/4
* 3311     0050.5696.8e52   dynamic  0         F      F    Eth1/4
* 3311     0050.5696.9372   dynamic  0         F      F    Po1
* 3311     0050.5696.cd9b   dynamic  0         F      F    Po1
* 3311     0050.5696.f2a2   dynamic  0         F      F    Po1
* 3311     0050.569e.001a   dynamic  0         F      F    Po1
* 3311     0050.569e.001d   dynamic  0         F      F    Eth1/4
* 3311     0050.56a0.5fe7   dynamic  0         F      F    Eth1/4
* 3311     0050.56b0.04e9   dynamic  0         F      F    Po1
* 3311     0050.56b0.07e0   dynamic  0         F      F    Eth1/4
* 3311     0050.56b0.17b0   dynamic  0         F      F    Po1
* 3311     0050.56b0.1ec4   dynamic  0         F      F    Eth1/3
* 3311     0050.56b0.6f10   dynamic  0         F      F    Eth1/3
* 3311     0050.56b0.7132   dynamic  0         F      F    Po1
* 3311     0050.56b0.795c   dynamic  0         F      F    Eth1/4
* 3312     001b.1700.0131   dynamic  0         F      F    Po2
* 3321     001b.1700.0131   dynamic  0         F      F    Po2
* 3322     001b.1700.0131   dynamic  0         F      F    Po2
* 3550     001b.1700.0131   dynamic  0         F      F    Po2
* 3551     001b.1700.0131   dynamic  0         F      F    Po2
* 3551     0050.569e.001c   dynamic  0         F      F    Po1
* 3551     0050.56b0.081b   dynamic  0         F      F    Po1
* 3553     001b.1700.0131   dynamic  0         F      F    Po2
* 3553     0050.5681.59c8   dynamic  0         F      F    Po1
* 3553     0050.56b0.229e   dynamic  0         F      F    Eth1/3
* 3553     0050.56b0.3006   dynamic  0         F      F    Po1
* 3553     0050.56b0.69ca   dynamic  0         F      F    Po1
* 3554     001b.1700.0131   dynamic  0         F      F    Po2
* 3554     0050.5696.77ba   dynamic  0         F      F    Po1
